field_dom,autores,certificados,obras,obras_mediana,cobertura_pct,ci_low,ci_high
Veterinary,453,98,934,1.0,21.6,18.1,25.7
Agricultural and Biological Sciences,18801,3548,49572,1.0,18.9,18.3,19.4
Earth and Planetary Sciences,2405,445,6336,1.0,18.5,17.0,20.1
Materials Science,1383,249,3234,1.0,18.0,16.1,20.1
Mathematics,667,118,1535,1.0,17.7,15.0,20.8
"Biochemistry, Genetics and Molecular Biology",5489,962,14127,1.0,17.5,16.5,18.6
Environmental Science,14308,2311,35837,1.0,16.2,15.6,16.8
Chemistry,835,133,1591,1.0,15.9,13.6,18.6
Immunology and Microbiology,2032,312,4295,1.0,15.4,13.9,17.0
Nursing,880,133,1349,1.0,15.1,12.9,17.6
Physics and Astronomy,864,129,2482,1.0,14.9,12.7,17.5
"Pharmacology, Toxicology and Pharmaceutics",489,70,654,1.0,14.3,11.5,17.7
Engineering,10710,1495,23592,1.0,14.0,13.3,14.6
Dentistry,3102,427,8093,1.0,13.8,12.6,15.0
Computer Science,13350,1763,32235,1.0,13.2,12.6,13.8
Medicine,33324,4325,96682,1.0,13.0,12.6,13.3
Chemical Engineering,123,16,203,1.0,13.0,8.2,20.1
Neuroscience,915,111,1352,1.0,12.1,10.2,14.4
Psychology,8560,983,21217,1.0,11.5,10.8,12.2
Energy,1535,165,2522,1.0,10.7,9.3,12.4
"Business, Management and Accounting",9703,922,20496,1.0,9.5,8.9,10.1
Health Professions,11238,1039,19082,1.0,9.2,8.7,9.8
Social Sciences,31486,2889,64077,1.0,9.2,8.9,9.5
Decision Sciences,1281,112,2112,1.0,8.7,7.3,10.4
"Economics, Econometrics and Finance",10181,872,19528,1.0,8.6,8.0,9.1
Arts and Humanities,5184,430,9790,1.0,8.3,7.6,9.1
