subfield_dom,autores,certificados,obras,obras_mediana,cobertura_pct,ci_low,ci_high,cobertura_hasta2023_pct,cobertura_2obras_pct
Geometry and Topology,78,24,188,1.0,30.8,21.6,41.7,38.0,
Biochemistry,404,120,1010,1.0,29.7,25.5,34.3,34.0,47.1
Geochemistry and Petrology,71,18,144,2.0,25.4,16.7,36.6,32.4,33.3
Ecological Modeling,220,55,680,1.0,25.0,19.7,31.1,28.2,40.4
Radiation,120,30,250,1.0,25.0,18.1,33.4,27.2,
Atmospheric Science,542,134,1895,1.0,24.7,21.3,28.5,27.4,37.0
Animal Science and Zoology,1218,294,3401,1.0,24.1,21.8,26.6,25.9,37.6
Biomaterials,504,119,1316,1.0,23.6,20.1,27.5,24.2,35.6
Agronomy and Crop Science,718,169,1953,1.0,23.5,20.6,26.8,25.9,33.5
"Electronic, Optical and Magnetic Materials",117,27,314,1.0,23.1,16.4,31.5,24.7,26.1
Small Animals,448,99,1058,1.0,22.1,18.5,26.2,23.3,34.0
Aquatic Science,609,132,1357,1.0,21.7,18.6,25.1,20.8,31.7
Environmental Chemistry,407,87,760,1.0,21.4,17.7,25.6,22.6,36.3
"Ecology, Evolution, Behavior and Systematics",1373,294,4595,1.0,21.4,19.3,23.7,23.1,32.1
Paleontology,343,72,933,1.0,21.0,17.0,25.6,21.5,36.0
Analytical Chemistry,478,100,1269,1.0,20.9,17.5,24.8,23.6,38.8
Horticulture,265,54,759,1.0,20.4,16.0,25.6,20.4,30.0
Immunology,555,113,1311,1.0,20.4,17.2,23.9,21.2,31.4
Global and Planetary Change,1532,310,5070,1.0,20.2,18.3,22.3,21.3,31.2
Oceanography,329,66,1275,1.0,20.1,16.1,24.7,19.3,35.4
Endocrinology,239,48,527,1.0,20.1,15.5,25.6,21.6,23.8
Ecology,3159,635,9610,1.0,20.1,18.7,21.5,21.6,30.5
Food Science,4770,956,13220,1.0,20.0,18.9,21.2,21.6,35.8
Computer Graphics and Computer-Aided Design,30,6,58,1.0,20.0,9.5,37.3,,
Statistical and Nonlinear Physics,75,15,141,1.0,20.0,12.5,30.4,19.0,
Nature and Landscape Conservation,836,165,2440,1.0,19.7,17.2,22.6,20.0,38.5
Pollution,786,153,1919,1.0,19.5,16.8,22.4,20.1,38.0
Molecular Medicine,318,62,1040,1.0,19.5,15.5,24.2,25.0,39.5
Materials Chemistry,606,118,1737,1.0,19.5,16.5,22.8,20.8,33.0
Complementary and alternative medicine,463,90,1074,1.0,19.4,16.1,23.3,19.6,32.7
Media Technology,300,58,508,1.0,19.3,15.3,24.2,21.0,34.8
Health Informatics,242,46,364,1.0,19.0,14.6,24.4,16.7,17.4
Computational Mechanics,189,36,576,1.0,19.0,14.1,25.2,21.8,34.7
Algebra and Number Theory,38,7,91,2.0,18.4,9.2,33.4,12.9,
Statistics and Probability,141,26,267,1.0,18.4,12.9,25.6,17.1,31.6
Biomedical Engineering,1898,348,5146,1.0,18.3,16.7,20.1,20.0,32.0
Environmental Engineering,880,161,2459,1.0,18.3,15.9,21.0,18.9,33.1
Parasitology,684,124,1840,1.0,18.1,15.4,21.2,20.0,34.2
Applied Psychology,160,29,365,1.0,18.1,12.9,24.8,16.9,21.0
Cellular and Molecular Neuroscience,172,31,594,1.0,18.0,13.0,24.4,20.4,29.4
Nutrition and Dietetics,888,160,1775,1.0,18.0,15.6,20.7,19.2,38.8
Microbiology,258,46,595,1.0,17.8,13.6,23.0,18.1,28.6
Sensory Systems,45,8,86,1.0,17.8,9.3,31.3,18.2,
Genetics,2031,360,6576,1.0,17.7,16.1,19.4,18.7,27.1
Organic Chemistry,222,39,315,1.0,17.6,13.1,23.1,16.6,33.3
Molecular Biology,1834,321,4992,1.0,17.5,15.8,19.3,18.2,28.2
Aerospace Engineering,631,110,1713,1.0,17.4,14.7,20.6,22.6,25.6
Biotechnology,250,43,573,1.0,17.2,13.0,22.4,16.5,24.5
Plant Science,3279,561,8127,1.0,17.1,15.9,18.4,19.1,33.5
Applied Mathematics,146,25,333,1.0,17.1,11.9,24.1,15.2,15.8
Mathematical Physics,70,12,177,1.0,17.1,10.1,27.6,16.7,
Periodontics,735,124,1989,1.0,16.9,14.3,19.7,17.8,40.5
Complementary and Manual Therapy,155,26,280,1.0,16.8,11.7,23.4,18.4,26.8
Electrical and Electronic Engineering,1084,180,2581,1.0,16.6,14.5,18.9,18.7,30.7
Computer Vision and Pattern Recognition,736,122,1883,1.0,16.6,14.1,19.4,19.0,33.9
Toxicology,61,10,141,1.0,16.4,9.2,27.6,,
Infectious Diseases,2854,469,11189,1.0,16.4,15.1,17.8,17.7,28.5
Computational Theory and Mathematics,202,33,627,1.0,16.3,11.9,22.1,21.2,25.0
Artificial Intelligence,1854,300,4931,1.0,16.2,14.6,17.9,18.5,28.3
Cancer Research,474,76,1333,1.0,16.0,13.0,19.6,17.0,23.4
Astronomy and Astrophysics,337,54,963,1.0,16.0,12.5,20.3,15.5,23.0
Insect Science,654,104,1429,1.0,15.9,13.3,18.9,16.9,32.6
Experimental and Cognitive Psychology,653,104,1504,1.0,15.9,13.3,18.9,15.4,24.1
Developmental Biology,38,6,74,1.0,15.8,7.4,30.4,,
Psychiatry and Mental health,729,115,2526,1.0,15.8,13.3,18.6,11.5,27.9
Pathology and Forensic Medicine,968,151,3014,1.0,15.6,13.4,18.0,15.3,25.5
Geophysics,776,119,1905,1.0,15.3,13.0,18.0,16.1,29.5
Management of Technology and Innovation,483,73,1154,1.0,15.1,12.2,18.6,15.4,30.0
Clinical Psychology,3020,454,10563,1.0,15.0,13.8,16.4,15.5,25.6
Pharmacology,1326,195,2596,1.0,14.7,12.9,16.7,13.5,32.2
Modeling and Simulation,130,19,346,1.0,14.6,9.6,21.7,13.5,25.0
Computer Science Applications,2331,339,5398,1.0,14.5,13.2,16.0,19.9,22.7
